state,year,asthma_rate
AL,2016,9.70
AK,2016,8.80
AZ,2016,9.40
AR,2016,8.50
CA,2016,7.80
CO,2016,8.80
CT,2016,10.50
DE,2016,8.50
DC,2016,9.90
FL,2016,6.70
GA,2016,8.50
HI,2016,10.70
ID,2016,9.30
IL,2016,8.90
IN,2016,10.20
IA,2016,7.80
KS,2016,8.80
KY,2016,11.60
LA,2016,8.40
ME,2016,12.20
MD,2016,9.40
MA,2016,10.30
MI,2016,10.90
MN,2016,7.60
MS,2016,8.00
MO,2016,9.90
MT,2016,8.50
NE,2016,8.30
NV,2016,7.90
NH,2016,11.40
NJ,2016,8.20
NM,2016,11.80
NY,2016,9.50
NC,2016,8.00
ND,2016,9.00
OH,2016,9.70
OK,2016,10.00
OR,2016,10.50
PA,2016,10.60
RI,2016,10.70
SC,2016,8.80
SD,2016,6.20
TN,2016,10.90
TX,2016,7.60
UT,2016,8.30
VT,2016,10.20
VA,2016,8.60
WA,2016,9.60
WV,2016,11.80
WI,2016,8.50
WY,2016,9.50
AL,2017,10.90
AK,2017,8.40
AZ,2017,9.80
AR,2017,9.60
CA,2017,7.90
CO,2017,9.30
CT,2017,10.70
DE,2017,10.60
DC,2017,9.40
FL,2017,7.50
GA,2017,8.40
HI,2017,9.80
ID,2017,9.00
IL,2017,8.20
IN,2017,10.00
IA,2017,9.30
KS,2017,9.10
KY,2017,10.70
LA,2017,9.00
ME,2017,11.20
MD,2017,9.40
MA,2017,11.50
MI,2017,10.80
MN,2017,7.30
MS,2017,8.30
MO,2017,9.40
MT,2017,9.10
NE,2017,8.20
NV,2017,10.40
NH,2017,13.20
NJ,2017,8.60
NM,2017,10.50
NY,2017,9.20
NC,2017,9.20
ND,2017,8.60
OH,2017,9.90
OK,2017,9.60
OR,2017,10.90
PA,2017,10.10
RI,2017,12.30
SC,2017,9.20
SD,2017,7.30
TN,2017,10.00
TX,2017,7.30
UT,2017,8.90
VT,2017,11.80
VA,2017,8.90
WA,2017,10.50
WV,2017,12.70
WI,2017,9.50
WY,2017,9.10
AL,2018,10.50
AK,2018,9.20
AZ,2018,10.00
AR,2018,9.80
CA,2018,8.50
CO,2018,9.10
CT,2018,10.30
DE,2018,10.10
DC,2018,11.60
FL,2018,8.70
GA,2018,8.90
HI,2018,9.30
ID,2018,8.60
IL,2018,8.70
IN,2018,10.00
IA,2018,7.90
KS,2018,9.80
KY,2018,11.50
LA,2018,8.90
ME,2018,12.30
MD,2018,9.30
MA,2018,10.20
MI,2018,11.20
MN,2018,8.30
MS,2018,9.70
MO,2018,9.40
MT,2018,10.00
NE,2018,8.90
NV,2018,8.00
NH,2018,11.80
NJ,2018,8.40
NM,2018,9.90
NY,2018,10.10
NC,2018,9.40
ND,2018,8.20
OH,2018,9.40
OK,2018,10.30
OR,2018,11.60
PA,2018,10.00
RI,2018,11.90
SC,2018,9.10
SD,2018,7.90
TN,2018,9.80
TX,2018,7.40
UT,2018,9.30
VT,2018,12.00
VA,2018,8.50
WA,2018,9.60
WV,2018,12.30
WI,2018,9.00
WY,2018,8.70
AL,2019,9.50
AK,2019,9.90
AZ,2019,9.70
AR,2019,9.30
CA,2019,7.80
CO,2019,9.70
CT,2019,10.50
DE,2019,9.80
DC,2019,11.40
FL,2019,7.40
GA,2019,7.70
HI,2019,9.60
ID,2019,10.00
IL,2019,8.20
IN,2019,9.80
IA,2019,8.00
KS,2019,9.90
KY,2019,9.50
LA,2019,7.90
ME,2019,11.80
MD,2019,9.00
MA,2019,10.30
MI,2019,11.10
MN,2019,8.30
MS,2019,9.90
MO,2019,10.10
MT,2019,10.00
NE,2019,8.00
NV,2019,9.40
NH,2019,10.80
NJ,2019,NA
NM,2019,8.40
NY,2019,9.30
NC,2019,8.30
ND,2019,8.10
OH,2019,11.10
OK,2019,10.20
OR,2019,11.10
PA,2019,10.90
RI,2019,11.20
SC,2019,9.40
SD,2019,8.50
TN,2019,8.80
TX,2019,7.10
UT,2019,9.90
VT,2019,11.60
VA,2019,8.80
WA,2019,9.90
WV,2019,11.50
WI,2019,10.20
WY,2019,9.50
AL,2020,9.00
AK,2020,8.90
AZ,2020,9.60
AR,2020,9.10
CA,2020,9.30
CO,2020,9.60
CT,2020,10.60
DE,2020,10.80
DC,2020,10.40
FL,2020,7.30
GA,2020,9.00
HI,2020,8.80
ID,2020,9.40
IL,2020,8.50
IN,2020,9.60
IA,2020,9.10
KS,2020,9.80
KY,2020,11.50
LA,2020,7.80
ME,2020,10.60
MD,2020,8.90
MA,2020,10.70
MI,2020,11.00
MN,2020,8.50
MS,2020,8.90
MO,2020,9.30
MT,2020,10.60
NE,2020,7.80
NV,2020,9.50
NH,2020,11.50
NJ,2020,8.70
NM,2020,10.10
NY,2020,9.50
NC,2020,7.80
ND,2020,8.60
OH,2020,9.90
OK,2020,10.80
OR,2020,10.60
PA,2020,10.20
RI,2020,12.10
SC,2020,9.40
SD,2020,8.10
TN,2020,10.30
TX,2020,7.40
UT,2020,10.80
VT,2020,10.80
VA,2020,8.60
WA,2020,9.60
WV,2020,12.40
WI,2020,10.20
WY,2020,10.00